Seed: 1541526910
10 Staleness GA Run, Best Fitness, Generations, Time
0, 241, 152, 1
1, 314, 115, 0
2, 268, 148, 1
3, 290, 117, 0
4, 295, 136, 1
5, 280, 147, 1
6, 309, 101, 0
7, 300, 148, 1
8, 271, 130, 0
9, 277, 141, 1
10, 317, 109, 0
11, 205, 167, 1
12, 218, 150, 1
13, 300, 144, 0
14, 296, 116, 1
15, 271, 142, 0
16, 301, 110, 1
17, 310, 103, 0
18, 336, 105, 0
19, 337, 82, 0
20, 331, 94, 0
21, 331, 89, 1
22, 296, 114, 0
23, 231, 172, 1
24, 249, 141, 0
25, 243, 190, 1
26, 286, 104, 1
27, 326, 119, 0
28, 292, 161, 1
29, 271, 125, 0

20 Staleness GA Run, Best Fitness, Generations, Time
0, 240, 189, 1
1, 280, 237, 1
2, 216, 178, 1
3, 232, 191, 0
4, 190, 215, 1
5, 187, 304, 2
6, 294, 125, 0
7, 155, 336, 1
8, 255, 197, 1
9, 211, 163, 1
10, 196, 261, 1
11, 194, 206, 1
12, 192, 256, 1
13, 151, 327, 1
14, 240, 150, 1
15, 240, 195, 1
16, 192, 221, 0
17, 229, 196, 1
18, 235, 243, 1
19, 200, 174, 1
20, 236, 170, 1
21, 212, 218, 1
22, 174, 259, 1
23, 223, 152, 0
24, 220, 198, 1
25, 187, 328, 2
26, 270, 160, 0
27, 244, 212, 1
28, 199, 224, 1
29, 252, 262, 1

Best Overall (greedy): 105 | Average Best: 108.033 | Valid trees found: 30 | Runs: 30 | Time: 0
