Seed: 1540254902
1 Mutation GA Run, Best Fitness, Generations, Time
0, 122, 130, 2
1, 149, 144, 3
2, 112, 153, 3
3, 110, 162, 3
4, 165, 148, 3
5, 99, 193, 4
6, 105, 156, 3
7, 89, 154, 2
8, 134, 156, 2
9, 120, 142, 3
10, 155, 180, 4
11, 122, 156, 3
12, 147, 154, 2
13, 132, 159, 3
14, 115, 164, 4
15, 124, 146, 2
16, 83, 161, 3
17, 156, 161, 3
18, 131, 125, 3
19, 156, 145, 3
20, 127, 166, 3
21, 156, 123, 2
22, 109, 142, 3
23, 109, 116, 2
24, 135, 165, 3
25, 133, 143, 3
26, 127, 180, 3
27, 108, 143, 3
28, 105, 172, 3
29, 111, 145, 3

2 Mutation GA Run, Best Fitness, Generations, Time
0, 143, 145, 4
1, 103, 144, 2
2, 121, 159, 3
3, 157, 137, 3
4, 123, 155, 3
5, 129, 165, 3
6, 140, 166, 3
7, 118, 132, 3
8, 114, 112, 2
9, 126, 173, 3
10, 99, 157, 3
11, 109, 145, 3
12, 139, 134, 2
13, 151, 138, 3
14, 118, 148, 3
15, 122, 128, 2
16, 116, 170, 3
17, 115, 152, 3
18, 128, 141, 3
19, 157, 138, 2
20, 118, 154, 3
21, 118, 143, 3
22, 123, 145, 3
23, 121, 140, 2
24, 127, 137, 3
25, 139, 156, 3
26, 155, 120, 2
27, 114, 154, 3
28, 138, 150, 3
29, 147, 120, 2

3 Mutation GA Run, Best Fitness, Generations, Time
0, 216, 98, 3
1, 120, 164, 3
2, 119, 186, 4
3, 131, 163, 3
4, 147, 148, 2
5, 110, 147, 3
6, 132, 168, 3
7, 144, 136, 2
8, 104, 138, 3
9, 130, 165, 3
10, 131, 148, 3
11, 126, 149, 2
12, 125, 141, 3
13, 121, 150, 3
14, 128, 184, 3
15, 96, 140, 3
16, 110, 169, 3
17, 146, 124, 3
18, 120, 153, 2
19, 103, 168, 3
20, 124, 122, 2
21, 111, 144, 3
22, 119, 194, 3
23, 94, 181, 4
24, 150, 139, 2
25, 99, 142, 3
26, 137, 158, 3
27, 153, 142, 3
28, 118, 135, 2
29, 121, 157, 3

4 Mutation GA Run, Best Fitness, Generations, Time
0, 282, 70, 3
1, 121, 134, 2
2, 154, 128, 3
3, 121, 152, 3
4, 139, 134, 2
5, 131, 137, 3
6, 120, 142, 2
7, 111, 168, 4
8, 109, 149, 2
9, 124, 148, 3
10, 183, 140, 3
11, 167, 158, 3
12, 131, 149, 3
13, 114, 183, 3
14, 113, 138, 3
15, 168, 121, 2
16, 100, 135, 2
17, 148, 155, 2
18, 106, 151, 3
19, 100, 192, 4
20, 119, 145, 3
21, 120, 138, 2
22, 145, 143, 3
23, 134, 160, 3
24, 100, 164, 3
25, 138, 156, 3
26, 131, 153, 3
27, 124, 155, 3
28, 100, 186, 4
29, 92, 166, 3

5 Mutation GA Run, Best Fitness, Generations, Time
0, 290, 73, 3
1, 103, 184, 3
2, 123, 187, 4
3, 117, 170, 3
4, 103, 169, 3
5, 121, 137, 3
6, 147, 146, 2
7, 145, 155, 3
8, 110, 157, 3
9, 120, 169, 3
10, 126, 144, 3
11, 131, 162, 3
12, 134, 119, 2
13, 132, 164, 4
14, 111, 174, 3
15, 151, 123, 2
16, 116, 154, 3
17, 151, 117, 2
18, 113, 167, 3
19, 136, 160, 3
20, 121, 173, 4
21, 130, 154, 3
22, 122, 177, 3
23, 143, 159, 3
24, 111, 165, 3
25, 136, 146, 3
26, 134, 193, 3
27, 122, 148, 3
28, 143, 175, 3
29, 120, 126, 3

Best Overall (greedy): 152 | Average Best: 166.267 | Valid trees found: 30 | Runs: 30 | Time: 0
