
Base graph vertices:
Vertex 0: ( 1, 29) ( 2, 31) ( 3, 22) ( 4, 29) ( 5, 38) ( 6, 15) ( 7, 17) ( 8, 3) ( 9, 9) ( 10, 33) ( 11, 7) ( 12, 23) ( 13, 32) ( 14, 30) ( 15, 5) ( 16, 13) ( 17, 26) ( 18, 30) ( 19, 10) ( 20, 16) ( 21, 18) ( 22, 4) ( 23, 24) ( 24, 48) ( 25, 1) ( 26, 1) ( 27, 5) ( 28, 41) ( 29, 5) ( 30, 46) ( 31, 2) ( 32, 36) ( 33, 28) ( 34, 25) ( 35, 16) ( 36, 16) ( 37, 39) ( 38, 32) ( 39, 20) ( 40, 50) ( 41, 14) ( 42, 27) ( 43, 22) ( 44, 47) ( 45, 8) ( 46, 26) ( 47, 10) ( 48, 33) ( 49, 8) ( 50, 19) ( 51, 49) ( 52, 25) ( 53, 22) ( 54, 24) ( 55, 24) ( 56, 24) ( 57, 24) ( 58, 28) ( 59, 14) ( 60, 30) ( 61, 26) ( 62, 17) ( 63, 17) ( 64, 3) ( 65, 41) ( 66, 32) ( 67, 20) ( 68, 30) ( 69, 15) ( 70, 40) ( 71, 31) ( 72, 29) ( 73, 18) ( 74, 2) ( 75, 25) ( 76, 25) ( 77, 30) ( 78, 36) ( 79, 8) ( 80, 39) ( 81, 7) ( 82, 8) ( 83, 13) ( 84, 30) ( 85, 31) ( 86, 36) ( 87, 4) ( 88, 6) ( 89, 15) ( 90, 17) ( 91, 37) ( 92, 40) ( 93, 34) ( 94, 4) ( 95, 43) ( 96, 24) ( 97, 37) ( 98, 12) ( 99, 5) 
Vertex 1: ( 0, 29) ( 2, 2) ( 3, 3) ( 4, 35) ( 5, 32) ( 6, 20) ( 7, 39) ( 8, 8) ( 9, 45) ( 10, 20) ( 11, 44) ( 12, 2) ( 13, 8) ( 14, 50) ( 15, 11) ( 16, 22) ( 17, 29) ( 18, 41) ( 19, 7) ( 20, 34) ( 21, 48) ( 22, 21) ( 23, 1) ( 24, 34) ( 25, 11) ( 26, 36) ( 27, 39) ( 28, 5) ( 29, 9) ( 30, 28) ( 31, 16) ( 32, 16) ( 33, 29) ( 34, 19) ( 35, 2) ( 36, 12) ( 37, 38) ( 38, 42) ( 39, 19) ( 40, 32) ( 41, 13) ( 42, 14) ( 43, 35) ( 44, 20) ( 45, 15) ( 46, 45) ( 47, 43) ( 48, 46) ( 49, 37) ( 50, 49) ( 51, 29) ( 52, 36) ( 53, 22) ( 54, 31) ( 55, 22) ( 56, 34) ( 57, 16) ( 58, 12) ( 59, 38) ( 60, 25) ( 61, 39) ( 62, 5) ( 63, 42) ( 64, 19) ( 65, 23) ( 66, 43) ( 67, 30) ( 68, 13) ( 69, 37) ( 70, 1) ( 71, 46) ( 72, 49) ( 73, 16) ( 74, 33) ( 75, 21) ( 76, 31) ( 77, 29) ( 78, 13) ( 79, 26) ( 80, 18) ( 81, 12) ( 82, 6) ( 83, 3) ( 84, 33) ( 85, 37) ( 86, 26) ( 87, 18) ( 88, 2) ( 89, 38) ( 90, 5) ( 91, 28) ( 92, 28) ( 93, 9) ( 94, 19) ( 95, 47) ( 96, 34) ( 97, 14) ( 98, 28) ( 99, 48) 
Vertex 2: ( 0, 31) ( 1, 2) ( 3, 50) ( 4, 28) ( 5, 43) ( 6, 50) ( 7, 44) ( 8, 27) ( 9, 20) ( 10, 26) ( 11, 6) ( 12, 33) ( 13, 3) ( 14, 25) ( 15, 44) ( 16, 8) ( 17, 27) ( 18, 28) ( 19, 46) ( 20, 5) ( 21, 45) ( 22, 50) ( 23, 42) ( 24, 1) ( 25, 27) ( 26, 19) ( 27, 9) ( 28, 48) ( 29, 17) ( 30, 42) ( 31, 13) ( 32, 45) ( 33, 41) ( 34, 14) ( 35, 24) ( 36, 36) ( 37, 13) ( 38, 19) ( 39, 12) ( 40, 33) ( 41, 44) ( 42, 19) ( 43, 15) ( 44, 48) ( 45, 43) ( 46, 10) ( 47, 8) ( 48, 22) ( 49, 39) ( 50, 3) ( 51, 26) ( 52, 35) ( 53, 2) ( 54, 17) ( 55, 35) ( 56, 31) ( 57, 37) ( 58, 45) ( 59, 30) ( 60, 4) ( 61, 39) ( 62, 42) ( 63, 48) ( 64, 29) ( 65, 7) ( 66, 23) ( 67, 14) ( 68, 19) ( 69, 42) ( 70, 28) ( 71, 3) ( 72, 37) ( 73, 46) ( 74, 17) ( 75, 35) ( 76, 39) ( 77, 28) ( 78, 42) ( 79, 10) ( 80, 18) ( 81, 44) ( 82, 35) ( 83, 2) ( 84, 48) ( 85, 3) ( 86, 38) ( 87, 28) ( 88, 39) ( 89, 35) ( 90, 9) ( 91, 44) ( 92, 23) ( 93, 50) ( 94, 43) ( 95, 3) ( 96, 6) ( 97, 16) ( 98, 17) ( 99, 26) 
Vertex 3: ( 0, 22) ( 1, 3) ( 2, 50) ( 4, 9) ( 5, 44) ( 6, 29) ( 7, 45) ( 8, 41) ( 9, 47) ( 10, 29) ( 11, 29) ( 12, 25) ( 13, 22) ( 14, 40) ( 15, 42) ( 16, 18) ( 17, 24) ( 18, 46) ( 19, 15) ( 20, 28) ( 21, 35) ( 22, 44) ( 23, 19) ( 24, 19) ( 25, 2) ( 26, 12) ( 27, 41) ( 28, 3) ( 29, 5) ( 30, 44) ( 31, 10) ( 32, 22) ( 33, 12) ( 34, 35) ( 35, 30) ( 36, 7) ( 37, 15) ( 38, 24) ( 39, 47) ( 40, 12) ( 41, 5) ( 42, 28) ( 43, 38) ( 44, 26) ( 45, 17) ( 46, 29) ( 47, 43) ( 48, 43) ( 49, 26) ( 50, 9) ( 51, 20) ( 52, 11) ( 53, 4) ( 54, 40) ( 55, 31) ( 56, 5) ( 57, 2) ( 58, 24) ( 59, 9) ( 60, 8) ( 61, 19) ( 62, 18) ( 63, 29) ( 64, 30) ( 65, 5) ( 66, 10) ( 67, 38) ( 68, 19) ( 69, 35) ( 70, 36) ( 71, 30) ( 72, 41) ( 73, 13) ( 74, 17) ( 75, 17) ( 76, 32) ( 77, 48) ( 78, 11) ( 79, 24) ( 80, 25) ( 81, 22) ( 82, 45) ( 83, 37) ( 84, 25) ( 85, 35) ( 86, 18) ( 87, 32) ( 88, 38) ( 89, 41) ( 90, 40) ( 91, 45) ( 92, 9) ( 93, 10) ( 94, 25) ( 95, 40) ( 96, 14) ( 97, 34) ( 98, 29) ( 99, 34) 
Vertex 4: ( 0, 29) ( 1, 35) ( 2, 28) ( 3, 9) ( 5, 20) ( 6, 14) ( 7, 16) ( 8, 11) ( 9, 27) ( 10, 34) ( 11, 29) ( 12, 10) ( 13, 33) ( 14, 41) ( 15, 35) ( 16, 8) ( 17, 12) ( 18, 31) ( 19, 46) ( 20, 39) ( 21, 17) ( 22, 13) ( 23, 20) ( 24, 4) ( 25, 5) ( 26, 11) ( 27, 50) ( 28, 15) ( 29, 22) ( 30, 24) ( 31, 6) ( 32, 35) ( 33, 9) ( 34, 34) ( 35, 21) ( 36, 31) ( 37, 48) ( 38, 36) ( 39, 41) ( 40, 26) ( 41, 21) ( 42, 19) ( 43, 35) ( 44, 4) ( 45, 9) ( 46, 21) ( 47, 11) ( 48, 23) ( 49, 1) ( 50, 6) ( 51, 11) ( 52, 18) ( 53, 21) ( 54, 30) ( 55, 23) ( 56, 27) ( 57, 42) ( 58, 23) ( 59, 42) ( 60, 14) ( 61, 48) ( 62, 49) ( 63, 50) ( 64, 7) ( 65, 33) ( 66, 20) ( 67, 37) ( 68, 32) ( 69, 7) ( 70, 29) ( 71, 7) ( 72, 28) ( 73, 47) ( 74, 43) ( 75, 31) ( 76, 7) ( 77, 15) ( 78, 43) ( 79, 29) ( 80, 15) ( 81, 50) ( 82, 39) ( 83, 34) ( 84, 22) ( 85, 20) ( 86, 7) ( 87, 49) ( 88, 14) ( 89, 29) ( 90, 42) ( 91, 27) ( 92, 26) ( 93, 40) ( 94, 28) ( 95, 34) ( 96, 24) ( 97, 48) ( 98, 22) ( 99, 5) 
Vertex 5: ( 0, 38) ( 1, 32) ( 2, 43) ( 3, 44) ( 4, 20) ( 6, 6) ( 7, 50) ( 8, 13) ( 9, 35) ( 10, 48) ( 11, 7) ( 12, 17) ( 13, 7) ( 14, 21) ( 15, 9) ( 16, 35) ( 17, 36) ( 18, 11) ( 19, 26) ( 20, 21) ( 21, 32) ( 22, 47) ( 23, 27) ( 24, 32) ( 25, 10) ( 26, 7) ( 27, 23) ( 28, 38) ( 29, 33) ( 30, 15) ( 31, 16) ( 32, 18) ( 33, 38) ( 34, 15) ( 35, 40) ( 36, 43) ( 37, 20) ( 38, 41) ( 39, 5) ( 40, 7) ( 41, 41) ( 42, 12) ( 43, 23) ( 44, 47) ( 45, 32) ( 46, 34) ( 47, 33) ( 48, 19) ( 49, 44) ( 50, 8) ( 51, 42) ( 52, 27) ( 53, 7) ( 54, 18) ( 55, 9) ( 56, 16) ( 57, 25) ( 58, 33) ( 59, 4) ( 60, 9) ( 61, 47) ( 62, 21) ( 63, 28) ( 64, 35) ( 65, 35) ( 66, 19) ( 67, 27) ( 68, 6) ( 69, 12) ( 70, 33) ( 71, 12) ( 72, 2) ( 73, 46) ( 74, 35) ( 75, 50) ( 76, 30) ( 77, 18) ( 78, 32) ( 79, 48) ( 80, 13) ( 81, 40) ( 82, 39) ( 83, 41) ( 84, 46) ( 85, 9) ( 86, 49) ( 87, 13) ( 88, 35) ( 89, 34) ( 90, 18) ( 91, 45) ( 92, 30) ( 93, 38) ( 94, 24) ( 95, 14) ( 96, 24) ( 97, 43) ( 98, 42) ( 99, 30) 
Vertex 6: ( 0, 15) ( 1, 20) ( 2, 50) ( 3, 29) ( 4, 14) ( 5, 6) ( 7, 4) ( 8, 27) ( 9, 43) ( 10, 7) ( 11, 22) ( 12, 27) ( 13, 6) ( 14, 1) ( 15, 46) ( 16, 37) ( 17, 1) ( 18, 10) ( 19, 28) ( 20, 41) ( 21, 1) ( 22, 25) ( 23, 49) ( 24, 1) ( 25, 38) ( 26, 35) ( 27, 34) ( 28, 5) ( 29, 31) ( 30, 16) ( 31, 45) ( 32, 5) ( 33, 31) ( 34, 18) ( 35, 47) ( 36, 23) ( 37, 49) ( 38, 2) ( 39, 1) ( 40, 42) ( 41, 8) ( 42, 22) ( 43, 20) ( 44, 13) ( 45, 25) ( 46, 18) ( 47, 1) ( 48, 25) ( 49, 27) ( 50, 29) ( 51, 15) ( 52, 29) ( 53, 3) ( 54, 16) ( 55, 30) ( 56, 42) ( 57, 2) ( 58, 15) ( 59, 49) ( 60, 33) ( 61, 30) ( 62, 43) ( 63, 37) ( 64, 11) ( 65, 12) ( 66, 35) ( 67, 35) ( 68, 11) ( 69, 36) ( 70, 35) ( 71, 2) ( 72, 45) ( 73, 8) ( 74, 21) ( 75, 9) ( 76, 32) ( 77, 38) ( 78, 9) ( 79, 6) ( 80, 17) ( 81, 39) ( 82, 23) ( 83, 45) ( 84, 42) ( 85, 40) ( 86, 26) ( 87, 35) ( 88, 41) ( 89, 43) ( 90, 33) ( 91, 23) ( 92, 22) ( 93, 25) ( 94, 11) ( 95, 34) ( 96, 39) ( 97, 45) ( 98, 18) ( 99, 49) 
Vertex 7: ( 0, 17) ( 1, 39) ( 2, 44) ( 3, 45) ( 4, 16) ( 5, 50) ( 6, 4) ( 8, 32) ( 9, 4) ( 10, 2) ( 11, 26) ( 12, 14) ( 13, 24) ( 14, 34) ( 15, 45) ( 16, 14) ( 17, 43) ( 18, 3) ( 19, 30) ( 20, 31) ( 21, 27) ( 22, 26) ( 23, 24) ( 24, 16) ( 25, 4) ( 26, 9) ( 27, 8) ( 28, 46) ( 29, 41) ( 30, 33) ( 31, 17) ( 32, 18) ( 33, 43) ( 34, 3) ( 35, 6) ( 36, 40) ( 37, 22) ( 38, 4) ( 39, 21) ( 40, 26) ( 41, 7) ( 42, 47) ( 43, 41) ( 44, 30) ( 45, 30) ( 46, 35) ( 47, 43) ( 48, 24) ( 49, 39) ( 50, 24) ( 51, 5) ( 52, 17) ( 53, 50) ( 54, 30) ( 55, 32) ( 56, 3) ( 57, 38) ( 58, 42) ( 59, 48) ( 60, 31) ( 61, 24) ( 62, 16) ( 63, 48) ( 64, 16) ( 65, 18) ( 66, 5) ( 67, 5) ( 68, 40) ( 69, 8) ( 70, 28) ( 71, 17) ( 72, 16) ( 73, 24) ( 74, 7) ( 75, 45) ( 76, 3) ( 77, 43) ( 78, 40) ( 79, 27) ( 80, 32) ( 81, 13) ( 82, 33) ( 83, 48) ( 84, 14) ( 85, 12) ( 86, 32) ( 87, 16) ( 88, 2) ( 89, 23) ( 90, 15) ( 91, 32) ( 92, 48) ( 93, 33) ( 94, 31) ( 95, 13) ( 96, 50) ( 97, 35) ( 98, 20) ( 99, 41) 
Vertex 8: ( 0, 3) ( 1, 8) ( 2, 27) ( 3, 41) ( 4, 11) ( 5, 13) ( 6, 27) ( 7, 32) ( 9, 44) ( 10, 47) ( 11, 9) ( 12, 9) ( 13, 22) ( 14, 15) ( 15, 3) ( 16, 24) ( 17, 10) ( 18, 42) ( 19, 2) ( 20, 43) ( 21, 7) ( 22, 36) ( 23, 42) ( 24, 20) ( 25, 50) ( 26, 23) ( 27, 36) ( 28, 1) ( 29, 47) ( 30, 2) ( 31, 34) ( 32, 44) ( 33, 34) ( 34, 14) ( 35, 9) ( 36, 36) ( 37, 48) ( 38, 30) ( 39, 28) ( 40, 41) ( 41, 28) ( 42, 37) ( 43, 49) ( 44, 49) ( 45, 3) ( 46, 3) ( 47, 24) ( 48, 12) ( 49, 47) ( 50, 26) ( 51, 6) ( 52, 3) ( 53, 13) ( 54, 48) ( 55, 22) ( 56, 12) ( 57, 22) ( 58, 9) ( 59, 14) ( 60, 21) ( 61, 13) ( 62, 47) ( 63, 14) ( 64, 48) ( 65, 10) ( 66, 24) ( 67, 33) ( 68, 9) ( 69, 5) ( 70, 13) ( 71, 49) ( 72, 32) ( 73, 1) ( 74, 49) ( 75, 30) ( 76, 5) ( 77, 4) ( 78, 4) ( 79, 19) ( 80, 50) ( 81, 31) ( 82, 24) ( 83, 2) ( 84, 43) ( 85, 21) ( 86, 25) ( 87, 7) ( 88, 45) ( 89, 34) ( 90, 20) ( 91, 15) ( 92, 46) ( 93, 17) ( 94, 28) ( 95, 43) ( 96, 28) ( 97, 4) ( 98, 28) ( 99, 37) 
Vertex 9: ( 0, 9) ( 1, 45) ( 2, 20) ( 3, 47) ( 4, 27) ( 5, 35) ( 6, 43) ( 7, 4) ( 8, 44) ( 10, 8) ( 11, 42) ( 12, 37) ( 13, 40) ( 14, 44) ( 15, 36) ( 16, 21) ( 17, 48) ( 18, 39) ( 19, 24) ( 20, 16) ( 21, 38) ( 22, 6) ( 23, 40) ( 24, 41) ( 25, 49) ( 26, 12) ( 27, 15) ( 28, 7) ( 29, 6) ( 30, 50) ( 31, 26) ( 32, 20) ( 33, 47) ( 34, 44) ( 35, 50) ( 36, 42) ( 37, 22) ( 38, 5) ( 39, 21) ( 40, 10) ( 41, 12) ( 42, 14) ( 43, 46) ( 44, 3) ( 45, 7) ( 46, 31) ( 47, 24) ( 48, 4) ( 49, 21) ( 50, 49) ( 51, 20) ( 52, 10) ( 53, 5) ( 54, 11) ( 55, 50) ( 56, 5) ( 57, 24) ( 58, 17) ( 59, 11) ( 60, 30) ( 61, 18) ( 62, 38) ( 63, 1) ( 64, 15) ( 65, 34) ( 66, 2) ( 67, 8) ( 68, 5) ( 69, 6) ( 70, 28) ( 71, 16) ( 72, 18) ( 73, 41) ( 74, 11) ( 75, 22) ( 76, 49) ( 77, 42) ( 78, 47) ( 79, 2) ( 80, 14) ( 81, 46) ( 82, 23) ( 83, 24) ( 84, 2) ( 85, 33) ( 86, 23) ( 87, 6) ( 88, 7) ( 89, 41) ( 90, 18) ( 91, 38) ( 92, 9) ( 93, 7) ( 94, 40) ( 95, 25) ( 96, 40) ( 97, 42) ( 98, 34) ( 99, 46) 
Vertex 10: ( 0, 33) ( 1, 20) ( 2, 26) ( 3, 29) ( 4, 34) ( 5, 48) ( 6, 7) ( 7, 2) ( 8, 47) ( 9, 8) ( 11, 47) ( 12, 13) ( 13, 11) ( 14, 16) ( 15, 5) ( 16, 22) ( 17, 38) ( 18, 3) ( 19, 15) ( 20, 36) ( 21, 4) ( 22, 28) ( 23, 31) ( 24, 27) ( 25, 1) ( 26, 32) ( 27, 11) ( 28, 26) ( 29, 39) ( 30, 19) ( 31, 18) ( 32, 8) ( 33, 6) ( 34, 28) ( 35, 17) ( 36, 46) ( 37, 2) ( 38, 8) ( 39, 37) ( 40, 37) ( 41, 6) ( 42, 35) ( 43, 49) ( 44, 16) ( 45, 1) ( 46, 3) ( 47, 39) ( 48, 40) ( 49, 5) ( 50, 5) ( 51, 25) ( 52, 9) ( 53, 35) ( 54, 8) ( 55, 37) ( 56, 37) ( 57, 41) ( 58, 47) ( 59, 14) ( 60, 32) ( 61, 16) ( 62, 32) ( 63, 39) ( 64, 23) ( 65, 9) ( 66, 7) ( 67, 20) ( 68, 13) ( 69, 15) ( 70, 8) ( 71, 49) ( 72, 20) ( 73, 43) ( 74, 48) ( 75, 37) ( 76, 45) ( 77, 2) ( 78, 28) ( 79, 36) ( 80, 7) ( 81, 32) ( 82, 10) ( 83, 17) ( 84, 18) ( 85, 19) ( 86, 3) ( 87, 5) ( 88, 10) ( 89, 1) ( 90, 18) ( 91, 41) ( 92, 16) ( 93, 1) ( 94, 31) ( 95, 39) ( 96, 10) ( 97, 38) ( 98, 10) ( 99, 24) 
