
Base graph vertices:
Vertex 0: ( 1, 11) ( 2, 25) ( 3, 49) ( 4, 1) ( 5, 22) ( 6, 24) ( 7, 48) ( 8, 15) ( 9, 9) ( 10, 21) ( 11, 19) ( 12, 36) ( 13, 14) ( 14, 37) ( 15, 16) ( 16, 39) ( 17, 8) ( 18, 7) ( 19, 25) ( 20, 47) ( 21, 12) ( 22, 28) ( 23, 40) ( 24, 1) ( 25, 12) ( 26, 38) ( 27, 11) ( 28, 35) ( 29, 37) ( 30, 37) ( 31, 19) ( 32, 47) ( 33, 11) ( 34, 17) ( 35, 49) ( 36, 33) ( 37, 41) ( 38, 46) ( 39, 47) ( 40, 1) ( 41, 18) ( 42, 18) ( 43, 36) ( 44, 31) ( 45, 6) ( 46, 4) ( 47, 22) ( 48, 13) ( 49, 12) ( 50, 48) ( 51, 11) ( 52, 23) ( 53, 26) ( 54, 2) ( 55, 23) ( 56, 39) ( 57, 39) ( 58, 36) ( 59, 23) ( 60, 25) ( 61, 22) ( 62, 43) ( 63, 23) ( 64, 32) ( 65, 11) ( 66, 21) ( 67, 16) ( 68, 3) ( 69, 18) ( 70, 15) ( 71, 4) ( 72, 36) ( 73, 32) ( 74, 41) ( 75, 18) ( 76, 37) ( 77, 46) ( 78, 39) ( 79, 1) ( 80, 8) ( 81, 37) ( 82, 11) ( 83, 32) ( 84, 14) ( 85, 12) ( 86, 5) ( 87, 2) ( 88, 2) ( 89, 42) ( 90, 26) ( 91, 28) ( 92, 13) ( 93, 18) ( 94, 50) ( 95, 46) ( 96, 30) ( 97, 22) ( 98, 12) ( 99, 33) 
Vertex 1: ( 0, 11) ( 2, 39) ( 3, 26) ( 4, 36) ( 5, 26) ( 6, 9) ( 7, 28) ( 8, 44) ( 9, 45) ( 10, 24) ( 11, 34) ( 12, 47) ( 13, 33) ( 14, 20) ( 15, 7) ( 16, 14) ( 17, 35) ( 18, 18) ( 19, 20) ( 20, 38) ( 21, 21) ( 22, 11) ( 23, 15) ( 24, 48) ( 25, 25) ( 26, 32) ( 27, 49) ( 28, 21) ( 29, 14) ( 30, 20) ( 31, 32) ( 32, 46) ( 33, 10) ( 34, 9) ( 35, 31) ( 36, 36) ( 37, 17) ( 38, 10) ( 39, 31) ( 40, 13) ( 41, 33) ( 42, 14) ( 43, 9) ( 44, 17) ( 45, 36) ( 46, 15) ( 47, 33) ( 48, 22) ( 49, 34) ( 50, 2) ( 51, 10) ( 52, 4) ( 53, 15) ( 54, 24) ( 55, 3) ( 56, 39) ( 57, 8) ( 58, 3) ( 59, 11) ( 60, 21) ( 61, 24) ( 62, 44) ( 63, 16) ( 64, 33) ( 65, 2) ( 66, 48) ( 67, 20) ( 68, 20) ( 69, 7) ( 70, 2) ( 71, 34) ( 72, 42) ( 73, 16) ( 74, 42) ( 75, 10) ( 76, 1) ( 77, 8) ( 78, 42) ( 79, 22) ( 80, 43) ( 81, 46) ( 82, 33) ( 83, 48) ( 84, 10) ( 85, 7) ( 86, 2) ( 87, 50) ( 88, 16) ( 89, 4) ( 90, 13) ( 91, 38) ( 92, 27) ( 93, 6) ( 94, 3) ( 95, 10) ( 96, 10) ( 97, 2) ( 98, 31) ( 99, 31) 
Vertex 2: ( 0, 25) ( 1, 39) ( 3, 10) ( 4, 33) ( 5, 15) ( 6, 3) ( 7, 50) ( 8, 8) ( 9, 13) ( 10, 50) ( 11, 18) ( 12, 6) ( 13, 23) ( 14, 10) ( 15, 1) ( 16, 6) ( 17, 10) ( 18, 12) ( 19, 14) ( 20, 11) ( 21, 12) ( 22, 31) ( 23, 15) ( 24, 26) ( 25, 18) ( 26, 43) ( 27, 31) ( 28, 22) ( 29, 4) ( 30, 42) ( 31, 23) ( 32, 35) ( 33, 23) ( 34, 34) ( 35, 19) ( 36, 39) ( 37, 37) ( 38, 18) ( 39, 46) ( 40, 1) ( 41, 19) ( 42, 13) ( 43, 6) ( 44, 41) ( 45, 25) ( 46, 9) ( 47, 48) ( 48, 36) ( 49, 20) ( 50, 13) ( 51, 46) ( 52, 31) ( 53, 45) ( 54, 12) ( 55, 8) ( 56, 12) ( 57, 5) ( 58, 39) ( 59, 33) ( 60, 8) ( 61, 32) ( 62, 7) ( 63, 44) ( 64, 6) ( 65, 43) ( 66, 12) ( 67, 44) ( 68, 31) ( 69, 31) ( 70, 42) ( 71, 33) ( 72, 49) ( 73, 6) ( 74, 38) ( 75, 42) ( 76, 30) ( 77, 46) ( 78, 41) ( 79, 17) ( 80, 18) ( 81, 6) ( 82, 13) ( 83, 50) ( 84, 50) ( 85, 26) ( 86, 8) ( 87, 12) ( 88, 32) ( 89, 48) ( 90, 46) ( 91, 40) ( 92, 29) ( 93, 5) ( 94, 35) ( 95, 35) ( 96, 49) ( 97, 47) ( 98, 30) ( 99, 29) 
Vertex 3: ( 0, 49) ( 1, 26) ( 2, 10) ( 4, 29) ( 5, 21) ( 6, 11) ( 7, 28) ( 8, 27) ( 9, 50) ( 10, 21) ( 11, 8) ( 12, 48) ( 13, 11) ( 14, 25) ( 15, 15) ( 16, 16) ( 17, 39) ( 18, 14) ( 19, 16) ( 20, 16) ( 21, 21) ( 22, 29) ( 23, 48) ( 24, 18) ( 25, 26) ( 26, 39) ( 27, 49) ( 28, 30) ( 29, 23) ( 30, 35) ( 31, 28) ( 32, 21) ( 33, 14) ( 34, 8) ( 35, 50) ( 36, 37) ( 37, 18) ( 38, 29) ( 39, 15) ( 40, 20) ( 41, 49) ( 42, 22) ( 43, 17) ( 44, 9) ( 45, 48) ( 46, 33) ( 47, 27) ( 48, 38) ( 49, 48) ( 50, 42) ( 51, 4) ( 52, 19) ( 53, 22) ( 54, 1) ( 55, 38) ( 56, 47) ( 57, 39) ( 58, 38) ( 59, 27) ( 60, 11) ( 61, 24) ( 62, 6) ( 63, 32) ( 64, 38) ( 65, 14) ( 66, 33) ( 67, 26) ( 68, 33) ( 69, 11) ( 70, 40) ( 71, 2) ( 72, 9) ( 73, 13) ( 74, 20) ( 75, 19) ( 76, 11) ( 77, 4) ( 78, 45) ( 79, 48) ( 80, 2) ( 81, 38) ( 82, 3) ( 83, 20) ( 84, 9) ( 85, 3) ( 86, 9) ( 87, 6) ( 88, 41) ( 89, 49) ( 90, 34) ( 91, 4) ( 92, 22) ( 93, 39) ( 94, 37) ( 95, 11) ( 96, 4) ( 97, 19) ( 98, 36) ( 99, 39) 
Vertex 4: ( 0, 1) ( 1, 36) ( 2, 33) ( 3, 29) ( 5, 31) ( 6, 27) ( 7, 42) ( 8, 41) ( 9, 40) ( 10, 12) ( 11, 9) ( 12, 2) ( 13, 15) ( 14, 4) ( 15, 1) ( 16, 18) ( 17, 41) ( 18, 4) ( 19, 39) ( 20, 50) ( 21, 8) ( 22, 48) ( 23, 7) ( 24, 49) ( 25, 48) ( 26, 40) ( 27, 4) ( 28, 19) ( 29, 30) ( 30, 42) ( 31, 30) ( 32, 36) ( 33, 12) ( 34, 17) ( 35, 24) ( 36, 42) ( 37, 44) ( 38, 15) ( 39, 32) ( 40, 35) ( 41, 28) ( 42, 40) ( 43, 36) ( 44, 45) ( 45, 45) ( 46, 36) ( 47, 12) ( 48, 36) ( 49, 41) ( 50, 1) ( 51, 37) ( 52, 49) ( 53, 50) ( 54, 43) ( 55, 49) ( 56, 47) ( 57, 34) ( 58, 4) ( 59, 15) ( 60, 13) ( 61, 45) ( 62, 46) ( 63, 48) ( 64, 6) ( 65, 13) ( 66, 23) ( 67, 49) ( 68, 6) ( 69, 38) ( 70, 30) ( 71, 42) ( 72, 15) ( 73, 21) ( 74, 27) ( 75, 11) ( 76, 16) ( 77, 14) ( 78, 23) ( 79, 3) ( 80, 7) ( 81, 23) ( 82, 41) ( 83, 5) ( 84, 22) ( 85, 35) ( 86, 5) ( 87, 20) ( 88, 18) ( 89, 8) ( 90, 36) ( 91, 32) ( 92, 4) ( 93, 32) ( 94, 32) ( 95, 9) ( 96, 44) ( 97, 4) ( 98, 7) ( 99, 1) 
Vertex 5: ( 0, 22) ( 1, 26) ( 2, 15) ( 3, 21) ( 4, 31) ( 6, 41) ( 7, 38) ( 8, 42) ( 9, 8) ( 10, 8) ( 11, 20) ( 12, 18) ( 13, 25) ( 14, 35) ( 15, 40) ( 16, 29) ( 17, 41) ( 18, 14) ( 19, 19) ( 20, 45) ( 21, 37) ( 22, 3) ( 23, 1) ( 24, 6) ( 25, 22) ( 26, 10) ( 27, 42) ( 28, 4) ( 29, 13) ( 30, 25) ( 31, 35) ( 32, 21) ( 33, 20) ( 34, 38) ( 35, 29) ( 36, 22) ( 37, 31) ( 38, 16) ( 39, 15) ( 40, 40) ( 41, 26) ( 42, 34) ( 43, 7) ( 44, 2) ( 45, 18) ( 46, 49) ( 47, 31) ( 48, 9) ( 49, 14) ( 50, 49) ( 51, 5) ( 52, 1) ( 53, 4) ( 54, 8) ( 55, 8) ( 56, 25) ( 57, 17) ( 58, 1) ( 59, 30) ( 60, 30) ( 61, 27) ( 62, 16) ( 63, 2) ( 64, 46) ( 65, 4) ( 66, 31) ( 67, 17) ( 68, 36) ( 69, 48) ( 70, 31) ( 71, 25) ( 72, 25) ( 73, 16) ( 74, 33) ( 75, 27) ( 76, 34) ( 77, 31) ( 78, 9) ( 79, 44) ( 80, 45) ( 81, 9) ( 82, 50) ( 83, 47) ( 84, 12) ( 85, 7) ( 86, 6) ( 87, 39) ( 88, 24) ( 89, 9) ( 90, 20) ( 91, 5) ( 92, 35) ( 93, 36) ( 94, 6) ( 95, 31) ( 96, 41) ( 97, 38) ( 98, 49) ( 99, 26) 
Vertex 6: ( 0, 24) ( 1, 9) ( 2, 3) ( 3, 11) ( 4, 27) ( 5, 41) ( 7, 36) ( 8, 30) ( 9, 2) ( 10, 12) ( 11, 47) ( 12, 34) ( 13, 40) ( 14, 30) ( 15, 15) ( 16, 48) ( 17, 25) ( 18, 11) ( 19, 7) ( 20, 27) ( 21, 9) ( 22, 20) ( 23, 33) ( 24, 14) ( 25, 10) ( 26, 8) ( 27, 22) ( 28, 30) ( 29, 12) ( 30, 7) ( 31, 17) ( 32, 20) ( 33, 39) ( 34, 7) ( 35, 7) ( 36, 37) ( 37, 34) ( 38, 44) ( 39, 18) ( 40, 35) ( 41, 8) ( 42, 15) ( 43, 18) ( 44, 47) ( 45, 46) ( 46, 34) ( 47, 45) ( 48, 23) ( 49, 46) ( 50, 3) ( 51, 49) ( 52, 4) ( 53, 22) ( 54, 33) ( 55, 18) ( 56, 34) ( 57, 41) ( 58, 39) ( 59, 15) ( 60, 4) ( 61, 47) ( 62, 31) ( 63, 25) ( 64, 35) ( 65, 39) ( 66, 34) ( 67, 24) ( 68, 24) ( 69, 27) ( 70, 41) ( 71, 8) ( 72, 34) ( 73, 7) ( 74, 27) ( 75, 31) ( 76, 5) ( 77, 13) ( 78, 27) ( 79, 27) ( 80, 8) ( 81, 31) ( 82, 25) ( 83, 12) ( 84, 2) ( 85, 9) ( 86, 29) ( 87, 37) ( 88, 1) ( 89, 19) ( 90, 1) ( 91, 7) ( 92, 18) ( 93, 33) ( 94, 31) ( 95, 2) ( 96, 23) ( 97, 14) ( 98, 27) ( 99, 46) 
Vertex 7: ( 0, 48) ( 1, 28) ( 2, 50) ( 3, 28) ( 4, 42) ( 5, 38) ( 6, 36) ( 8, 43) ( 9, 20) ( 10, 5) ( 11, 28) ( 12, 26) ( 13, 34) ( 14, 10) ( 15, 32) ( 16, 46) ( 17, 36) ( 18, 8) ( 19, 5) ( 20, 16) ( 21, 34) ( 22, 16) ( 23, 20) ( 24, 43) ( 25, 46) ( 26, 8) ( 27, 43) ( 28, 15) ( 29, 11) ( 30, 49) ( 31, 32) ( 32, 43) ( 33, 32) ( 34, 35) ( 35, 18) ( 36, 45) ( 37, 14) ( 38, 15) ( 39, 39) ( 40, 33) ( 41, 20) ( 42, 17) ( 43, 10) ( 44, 5) ( 45, 26) ( 46, 42) ( 47, 50) ( 48, 12) ( 49, 49) ( 50, 6) ( 51, 29) ( 52, 35) ( 53, 22) ( 54, 50) ( 55, 29) ( 56, 17) ( 57, 8) ( 58, 21) ( 59, 33) ( 60, 18) ( 61, 22) ( 62, 14) ( 63, 12) ( 64, 3) ( 65, 1) ( 66, 29) ( 67, 49) ( 68, 14) ( 69, 46) ( 70, 38) ( 71, 46) ( 72, 15) ( 73, 6) ( 74, 7) ( 75, 21) ( 76, 31) ( 77, 48) ( 78, 22) ( 79, 44) ( 80, 49) ( 81, 27) ( 82, 23) ( 83, 33) ( 84, 48) ( 85, 22) ( 86, 11) ( 87, 17) ( 88, 31) ( 89, 33) ( 90, 49) ( 91, 48) ( 92, 6) ( 93, 15) ( 94, 12) ( 95, 10) ( 96, 15) ( 97, 42) ( 98, 11) ( 99, 30) 
Vertex 8: ( 0, 15) ( 1, 44) ( 2, 8) ( 3, 27) ( 4, 41) ( 5, 42) ( 6, 30) ( 7, 43) ( 9, 37) ( 10, 48) ( 11, 27) ( 12, 3) ( 13, 3) ( 14, 33) ( 15, 23) ( 16, 35) ( 17, 33) ( 18, 44) ( 19, 29) ( 20, 31) ( 21, 21) ( 22, 1) ( 23, 15) ( 24, 20) ( 25, 24) ( 26, 27) ( 27, 36) ( 28, 7) ( 29, 11) ( 30, 35) ( 31, 4) ( 32, 17) ( 33, 1) ( 34, 17) ( 35, 26) ( 36, 17) ( 37, 9) ( 38, 36) ( 39, 46) ( 40, 45) ( 41, 35) ( 42, 24) ( 43, 48) ( 44, 39) ( 45, 8) ( 46, 20) ( 47, 26) ( 48, 40) ( 49, 14) ( 50, 4) ( 51, 22) ( 52, 36) ( 53, 6) ( 54, 36) ( 55, 5) ( 56, 31) ( 57, 14) ( 58, 43) ( 59, 37) ( 60, 25) ( 61, 29) ( 62, 43) ( 63, 43) ( 64, 29) ( 65, 9) ( 66, 20) ( 67, 45) ( 68, 17) ( 69, 8) ( 70, 42) ( 71, 12) ( 72, 44) ( 73, 15) ( 74, 9) ( 75, 35) ( 76, 22) ( 77, 28) ( 78, 10) ( 79, 12) ( 80, 43) ( 81, 13) ( 82, 35) ( 83, 30) ( 84, 18) ( 85, 21) ( 86, 35) ( 87, 48) ( 88, 36) ( 89, 29) ( 90, 35) ( 91, 12) ( 92, 7) ( 93, 29) ( 94, 4) ( 95, 37) ( 96, 37) ( 97, 24) ( 98, 31) ( 99, 4) 
Vertex 9: ( 0, 9) ( 1, 45) ( 2, 13) ( 3, 50) ( 4, 40) ( 5, 8) ( 6, 2) ( 7, 20) ( 8, 37) ( 10, 33) ( 11, 22) ( 12, 15) ( 13, 26) ( 14, 38) ( 15, 23) ( 16, 10) ( 17, 9) ( 18, 2) ( 19, 19) ( 20, 22) ( 21, 45) ( 22, 33) ( 23, 7) ( 24, 24) ( 25, 2) ( 26, 29) ( 27, 10) ( 28, 50) ( 29, 14) ( 30, 40) ( 31, 36) ( 32, 28) ( 33, 46) ( 34, 14) ( 35, 31) ( 36, 32) ( 37, 50) ( 38, 6) ( 39, 14) ( 40, 3) ( 41, 40) ( 42, 37) ( 43, 19) ( 44, 16) ( 45, 24) ( 46, 41) ( 47, 27) ( 48, 35) ( 49, 45) ( 50, 48) ( 51, 8) ( 52, 39) ( 53, 30) ( 54, 14) ( 55, 14) ( 56, 32) ( 57, 44) ( 58, 26) ( 59, 33) ( 60, 10) ( 61, 15) ( 62, 20) ( 63, 37) ( 64, 13) ( 65, 33) ( 66, 19) ( 67, 46) ( 68, 34) ( 69, 25) ( 70, 12) ( 71, 39) ( 72, 14) ( 73, 48) ( 74, 7) ( 75, 31) ( 76, 24) ( 77, 50) ( 78, 8) ( 79, 8) ( 80, 44) ( 81, 7) ( 82, 15) ( 83, 34) ( 84, 36) ( 85, 31) ( 86, 49) ( 87, 19) ( 88, 24) ( 89, 26) ( 90, 1) ( 91, 35) ( 92, 43) ( 93, 20) ( 94, 21) ( 95, 7) ( 96, 4) ( 97, 40) ( 98, 2) ( 99, 40) 
Vertex 10: ( 0, 21) ( 1, 24) ( 2, 50) ( 3, 21) ( 4, 12) ( 5, 8) ( 6, 12) ( 7, 5) ( 8, 48) ( 9, 33) ( 11, 16) ( 12, 15) ( 13, 30) ( 14, 31) ( 15, 13) ( 16, 38) ( 17, 14) ( 18, 36) ( 19, 37) ( 20, 23) ( 21, 45) ( 22, 32) ( 23, 29) ( 24, 9) ( 25, 17) ( 26, 14) ( 27, 41) ( 28, 18) ( 29, 35) ( 30, 17) ( 31, 43) ( 32, 35) ( 33, 1) ( 34, 37) ( 35, 7) ( 36, 22) ( 37, 43) ( 38, 10) ( 39, 13) ( 40, 47) ( 41, 1) ( 42, 30) ( 43, 11) ( 44, 30) ( 45, 12) ( 46, 23) ( 47, 18) ( 48, 25) ( 49, 10) ( 50, 6) ( 51, 47) ( 52, 4) ( 53, 40) ( 54, 25) ( 55, 15) ( 56, 6) ( 57, 41) ( 58, 5) ( 59, 23) ( 60, 25) ( 61, 21) ( 62, 18) ( 63, 9) ( 64, 22) ( 65, 4) ( 66, 17) ( 67, 45) ( 68, 49) ( 69, 29) ( 70, 9) ( 71, 45) ( 72, 29) ( 73, 40) ( 74, 5) ( 75, 11) ( 76, 1) ( 77, 30) ( 78, 28) ( 79, 26) ( 80, 39) ( 81, 35) ( 82, 24) ( 83, 45) ( 84, 24) ( 85, 49) ( 86, 9) ( 87, 32) ( 88, 41) ( 89, 15) ( 90, 4) ( 91, 15) ( 92, 36) ( 93, 23) ( 94, 25) ( 95, 9) ( 96, 29) ( 97, 42) ( 98, 5) ( 99, 27) 
